postal_code,latitude,longitude,place_name,region_1_en,region_2_lc,region_3_lc,country_lc,country_en,country_code,timezone,utc
7635,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7636,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7639,46.0008,18.2049,Kökény,Baranya,Pécsi járás,Kökény,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7639,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7661,46.0596,18.4517,Kátoly,Baranya,Pécsváradi járás,Kátoly,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7661,46.1025,18.4732,Kékesd,Baranya,Pécsváradi járás,Kékesd,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7661,46.1004,18.4567,Erzsébet,Baranya,Pécsváradi járás,Erzsébet,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7661,46.0735,18.4611,Szellő,Baranya,Pécsváradi járás,Szellő,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7663,46.027,18.4618,Máriakéménd,Baranya,Bólyi járás,Máriakéménd,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7664,46.0757,18.4088,Berkesd,Baranya,Pécsi járás,Berkesd,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7664,46.0937,18.3765,Pereked,Baranya,Pécsi járás,Pereked,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7664,46.1012,18.4074,Szilágy,Baranya,Pécsi járás,Szilágy,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7666,45.98,18.26,Pogány,Baranya,Pécsi járás,Pogány,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7668,45.9958,18.1786,Gyód,Baranya,Pécsi járás,Gyód,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7668,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7668,46.0151,18.1901,Keszü,Baranya,Pécsi járás,Keszü,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7671,46.0093,18.0969,Zók,Baranya,Szentlőrinci járás,Zók,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7671,46.0063,18.1206,Aranyosgadány,Baranya,Pécsi járás,Aranyosgadány,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7671,46.0229,18.0813,Bicsérd,Baranya,Szentlőrinci járás,Bicsérd,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7672,46.0806,18.049,Boda,Baranya,Szentlőrinci járás,Boda,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7673,46.0757,18.135,Cserkút,Baranya,Pécsi járás,Cserkút,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7673,46.0841,18.1267,Kővágószőlős,Baranya,Pécsi járás,Kővágószőlős,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7675,46.0852,18.0831,Kővágótöttös,Baranya,Pécsi járás,Bakonya,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7675,46.0852,18.0831,Bakonya,Baranya,Pécsi járás,Bakonya,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7677,46.1333,18.15,Orfű,Baranya,Pécsi járás,Orfű,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7678,46.1667,18.0833,Husztót,Baranya,Pécsi járás,Husztót,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7678,46.1426,18.1168,Abaliget,Baranya,Pécsi járás,Abaliget,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7678,46.171,18.1097,Kovácsszénája,Baranya,Pécsi járás,Kovácsszénája,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7681,46.1524,18.0589,Okorvölgy,Baranya,Szentlőrinci járás,Okorvölgy,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7681,46.1331,18.0438,Hetvehely,Baranya,Szentlőrinci járás,Hetvehely,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7681,46.174,18.0501,Szentkatalin,Baranya,Szentlőrinci járás,Szentkatalin,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7682,46.1075,17.9882,Bükkösd,Baranya,Szentlőrinci járás,Bükkösd,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7683,46.0898,17.976,Helesfa,Baranya,Szentlőrinci járás,Helesfa,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7683,46.0977,17.9566,Dinnyeberki,Baranya,Szentlőrinci járás,Dinnyeberki,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7683,46.0831,17.9904,Cserdi,Baranya,Szentlőrinci járás,Cserdi,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7691,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7693,46.0833,18.2333,Pécs,Baranya,Pécsi járás,Pécs,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7694,46.1641,18.3508,Hosszúhetény,Baranya,Pécsi járás,Hosszúhetény,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7695,46.2208,18.5324,Ófalu,Baranya,Pécsváradi járás,Ófalu,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7695,46.221,18.4103,Óbánya,Baranya,Pécsváradi járás,Óbánya,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7695,46.2247,18.4708,Mecseknádasd,Baranya,Pécsváradi járás,Mecseknádasd,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
7696,46.2568,18.4954,Hidas,Baranya,Pécsváradi járás,Hidas,Magyarország,Hungary,HU,Europe/Budapest,UTC+2.0
