postal_code,latitude,longitude,place_name,region_1_en,region_2_en,region_3_en,country_name,country_code,timezone,utc
65227,-7.9626709,31.7220747,Sumbawanga Urban,Rukwa,Rukwa,Sumbawanga Urban,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
23118,-3.409717,36.73972,Arumeru,Arusha,Arusha,Arumeru,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
59421,-10.378879,34.801549,Ludewa,Iringa,Iringa,Ludewa,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
35816,-1.39987,30.934152,Karagwe,Kagera,Kagera,Karagwe,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
50105,-6.319254,31.065388,Mpanda,Rukwa,Rukwa,Mpanda,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
43616,-5.197749,34.821292,Singida Rural,Singida,Singida,Singida Rural,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
37324,-3.9090282,32.7900714,Kahama,Shinyanga,Shinyanga,Kahama,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
57114,-10.5586023,35.6911034,Songea Rural,Ruvuma,Ruvuma,Songea Rural,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
39318,-3.2384789,33.7651453,Maswa,Shinyanga,Shinyanga,Maswa,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
45221,-4.8934701,33.7759415,Uyui,Tabora,Tabora,Uyui,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
57103,-10.677833,35.63886,Songea Urban,Ruvuma,Ruvuma,Songea Urban,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
35204,-1.069753,31.841961,Bukoba Rural,Kagera,Kagera,Bukoba Rural,Tanzania,TZA,Africa/Dar_es_Salaam,UTC +3.0
