postal_code,latitude,longitude,region_1_en,region_2_en,region_3_en,country_code,country_en,timezone,utc
92272,35.0327,-5.7738,Rissana Janoubia,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
93034,35.553,-5.2447,Moulay Abdesslam,Tanger-Tetouan-Al Hoceima,Larache,MA,Morocco,Africa/Casablanca,UTC+1.0
90025,35.4509,-5.8449,Hajr Enhal,Tanger-Tetouan-Al Hoceima,Tanger-Assilah,MA,Morocco,Africa/Casablanca,UTC+1.0
90036,35.4509,-5.8449,Sebt Zeniate,Tanger-Tetouan-Al Hoceima,Tanger-Assilah,MA,Morocco,Africa/Casablanca,UTC+1.0
90050,35.4652,-6.0342,Assilah,Tanger-Tetouan-Al Hoceima,Tanger-Assilah,MA,Morocco,Africa/Casablanca,UTC+1.0
90052,35.5377,-5.7174,Dar Chaoui,Tanger-Tetouan-Al Hoceima,Tanger-Assilah,MA,Morocco,Africa/Casablanca,UTC+1.0
90054,35.3693,-5.9724,Tnine Sidi El Yamani,Tanger-Tetouan-Al Hoceima,Tanger-Assilah,MA,Morocco,Africa/Casablanca,UTC+1.0
90102,35.4637,-5.8621,Gzenaya,Tanger-Tetouan-Al Hoceima,Tanger-Assilah,MA,Morocco,Africa/Casablanca,UTC+1.0
90302,35.5151,-5.9308,Had Rharbia,Tanger-Tetouan-Al Hoceima,Tanger-Assilah,MA,Morocco,Africa/Casablanca,UTC+1.0
90072,35.4314,-5.6557,Bghaghza,Tanger-Tetouan-Al Hoceima,Tetouan,MA,Morocco,Africa/Casablanca,UTC+1.0
93015,35.553,-5.2447,Asmaten,Tanger-Tetouan-Al Hoceima,Tetouan,MA,Morocco,Africa/Casablanca,UTC+1.0
93022,35.553,-5.2447,Azla,Tanger-Tetouan-Al Hoceima,Tetouan,MA,Morocco,Africa/Casablanca,UTC+1.0
93023,35.553,-5.2447,Beni Yder,Tanger-Tetouan-Al Hoceima,Tetouan,MA,Morocco,Africa/Casablanca,UTC+1.0
93024,35.553,-5.2447,Dar Ben Saddouk,Tanger-Tetouan-Al Hoceima,Tetouan,MA,Morocco,Africa/Casablanca,UTC+1.0
93026,35.553,-5.2447,El Fendeq,Tanger-Tetouan-Al Hoceima,Tetouan,MA,Morocco,Africa/Casablanca,UTC+1.0
93032,35.553,-5.2447,Zaouia Sidi Kacem,Tanger-Tetouan-Al Hoceima,Tetouan,MA,Morocco,Africa/Casablanca,UTC+1.0
93033,35.553,-5.2447,Jemaa El Oued,Tanger-Tetouan-Al Hoceima,Tetouan,MA,Morocco,Africa/Casablanca,UTC+1.0
93052,35.553,-5.2447,Bni Karrich Fouki,Tanger-Tetouan-Al Hoceima,Tetouan,MA,Morocco,Africa/Casablanca,UTC+1.0
