country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,timezone,utc,latitude,longitude
Singapore,Singapore,SG,18953,Singapore,Singapore,Marina South,Marina South,Asia/Singapore,UTC+08:00,1.2821677,103.865196
Singapore,Singapore,SG,18955,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2832098,103.8592831
Singapore,Singapore,SG,18956,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2821027,103.8585399
Singapore,Singapore,SG,18957,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2813711,103.8589738
Singapore,Singapore,SG,18958,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2830037,103.858121
Singapore,Singapore,SG,18959,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2795497,103.858659
Singapore,Singapore,SG,18960,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2789459,103.8513357
Singapore,Singapore,SG,18961,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2777618,103.8506983
Singapore,Singapore,SG,18962,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2748761,103.8485641
Singapore,Singapore,SG,18965,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2800618,103.8513601
Singapore,Singapore,SG,18968,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2802597,103.8512116
Singapore,Singapore,SG,18969,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2793257,103.8524828
Singapore,Singapore,SG,18970,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2836311,103.859972
Singapore,Singapore,SG,18971,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2825414,103.8601178
Singapore,Singapore,SG,18972,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2828475,103.8585042
Singapore,Singapore,SG,18973,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2845536,103.8597149
Singapore,Singapore,SG,18974,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.286094,103.8593837
Singapore,Singapore,SG,18978,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2791679,103.8556299
Singapore,Singapore,SG,18979,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2789071,103.8555096
Singapore,Singapore,SG,18980,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2796676,103.8550546
Singapore,Singapore,SG,18981,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2802597,103.8542695
Singapore,Singapore,SG,18982,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2791242,103.8543711
Singapore,Singapore,SG,18983,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2796236,103.8537632
Singapore,Singapore,SG,18984,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2799908,103.8537379
Singapore,Singapore,SG,18985,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2807333,103.8528103
Singapore,Singapore,SG,18986,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2808728,103.8525314
Singapore,Singapore,SG,18987,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2812884,103.8526279
Singapore,Singapore,SG,18988,Singapore,Singapore,Straits View,Straits View,Asia/Singapore,UTC+08:00,1.2709302,103.8632422
Singapore,Singapore,SG,18989,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.282645,103.852886
Singapore,Singapore,SG,29997,Singapore,Singapore,Marina East,Marina East,Asia/Singapore,UTC+08:00,1.282481,103.877637
Singapore,Singapore,SG,38970,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.3003126,103.8643262
Singapore,Singapore,SG,38971,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2996617,103.8626709
Singapore,Singapore,SG,38975,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2910967,103.8634536
Singapore,Singapore,SG,38980,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2863676,103.8540369
Singapore,Singapore,SG,38981,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2899329,103.8549966
Singapore,Singapore,SG,38982,Singapore,Singapore,Downtown Core,Downtown Core,Asia/Singapore,UTC+08:00,1.2934843,103.8587519
