country_en,country_code,Postal Code,region_1_en,region_2_en,region_1_lc,region_2_lc,timezone,utc
myanmar,MM,1503212,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503213,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503214,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503215,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503216,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503217,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503218,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503219,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503220,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503221,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503222,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503223,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503224,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503225,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503226,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503227,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503228,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503229,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503230,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503231,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503232,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503233,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503234,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503235,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503236,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503237,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503238,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503239,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
myanmar,MM,1503240,Naypyitaw Union Territory,Tatkon Township,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ),တပ်ကုန်း မြို့နယ်,Asia/Yangon,utc +6.30
