postcode,x,y,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
43000,45.9167,16.7833,Klokočevac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.7333,16.8667,Potok,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9667,16.8833,Srednja Diklenica,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.7167,16.8667,Šimljanica,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8833,16.8833,Novoseljani,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9833,16.7167,Kovačevac,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Đurđic,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,46.0622,16.8628,Srednji Mosti,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Prekobrdo,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Prnjavor,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Reškovci,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8976,16.8529,Šiptari,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.7718,16.5506,Lipovčani,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9667,16.9667,Dominkovica,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8,16.8167,Utiskani,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.9486,16.8281,Novi Skucani,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
43000,45.8628,17.0078,Ravneš,Bjelovar,Bjelovarsko-Bilogorska,Croatia,HR,Europe/Zagreb,UTC +1.0
