country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,region4_lc,region4_en,timezone,utc,latitude,longitude
Kenya,Kenya,KE,20203,,Rift Valley,,Kericho,,Londiani,,Londian,Africa/Nairobi,UTC +3.0,-0.1666806,35.5915813
Kenya,Kenya,KE,20203,,Rift Valley,,Kericho,,Kipkelion East,,Londiani,Africa/Nairobi,UTC +3.0,-0.1666806,35.5915813
Kenya,Kenya,KE,20402,,Rift Valley,,Bomet,,Bomet East,,Longisa,Africa/Nairobi,UTC +3.0,-0.8605299,35.3928617
Kenya,Kenya,KE,20147,,Rift Valley,,Nakuru,,Naivasha,,Maai Mahiu,Africa/Nairobi,UTC +3.0,-0.9874909,36.5801138
Kenya,Kenya,KE,20147,,Rift Valley,,Nakuru,,Naivasha,,Mai Mahiu,Africa/Nairobi,UTC +3.0,-0.9847742,36.5838277
Kenya,Kenya,KE,10210,,Central,,Muranga,,Kigumo /Kandara,,Gacharage-ini,Africa/Nairobi,UTC +3.0,-0.5771446,37.1690712
Kenya,Kenya,KE,10109,,Central,,Nyeri,,Nyeri South,,Gakere Road,Africa/Nairobi,UTC +3.0,-0.4238448,36.953801
Kenya,Kenya,KE,10111,,Central,,Nyeri,,Mukurweni,,Gakindu,Africa/Nairobi,UTC +3.0,-1.2911934,36.8839869
Kenya,Kenya,KE,10232,,Central,,Muranga,,Maragua,,Gakungu,Africa/Nairobi,UTC +3.0,-0.7965265,37.1347649
Kenya,Kenya,KE,10212,,Central,,Muranga,,Muranga,,Gatara,Africa/Nairobi,UTC +3.0,-0.5478625,37.0838854
Kenya,Kenya,KE,10114,,Central,,Nyeri,,Nyeri Town,,Gatitu,Africa/Nairobi,UTC +3.0,-0.4678922,36.9986007
Kenya,Kenya,KE,10115,,Central,,Kiambu,,Gatundu,,Gatondo,Africa/Nairobi,UTC +3.0,-1.2688198,36.8497356
Kenya,Kenya,KE,10305,,Central,,Nyeri,,Gatura,,Gatugura,Africa/Nairobi,UTC +3.0,-1.1993909,36.6046366
Kenya,Kenya,KE,10108,,Central,,Nyeri,,Tetu / Nyeri Town,,Giakanja,Africa/Nairobi,UTC +3.0,-1.2857857,36.8200253
Kenya,Kenya,KE,10213,,Central,,Muranga,,Mathioya,,Gikoe,Africa/Nairobi,UTC +3.0,-1.311652,36.8631963
Kenya,Kenya,KE,10209,,Central,,Muranga,,Mathioya,,Gitugi,Africa/Nairobi,UTC +3.0,-1.2857857,36.8200253
Kenya,Kenya,KE,10227,,Central,,Muranga,,Muranga,,Ichichi,Africa/Nairobi,UTC +3.0,-0.7180943,37.1589456
Kenya,Kenya,KE,10306,,Central,,Kirinyaga,,Ndia,,Kagio,Africa/Nairobi,UTC +3.0,-0.6255042,37.2555643
Kenya,Kenya,KE,10307,,Central,,Kirinyaga,,Kirinyaga Central,,Kagumo,Africa/Nairobi,UTC +3.0,-0.8031631,36.9340408
Kenya,Kenya,KE,10206,,Central,,Muranga,,Kiharu,,Kahuhia,Africa/Nairobi,UTC +3.0,,
Kenya,Kenya,KE,10201,,Central,,Muranga,,Kiharu,,Kahuro,Africa/Nairobi,UTC +3.0,-0.7485945,37.0068826
Kenya,Kenya,KE,10214,,Nairobi,,Nairobi,,Highridge,,Kahuti,Africa/Nairobi,UTC +3.0,-1.2626336,36.8156719
Kenya,Kenya,KE,10215,,Nairobi,,Cairo Governorate,,Heliopolis,,Kairo,Africa/Nairobi,UTC +3.0,-0.611962,36.9262677
Kenya,Kenya,KE,10217,,Central,,Muranga,,Makuyu,,Kamahuha,Africa/Nairobi,UTC +3.0,-0.8991099,37.1870783
Kenya,Kenya,KE,10141,,Central,,Nyeri,,Nyeri Town,,Kamakwa Rd,Africa/Nairobi,UTC +3.0,-1.3010306,36.814248
Kenya,Kenya,KE,20116,,Rift Valley,,Nakuru,,Gilgil,,Gilgil,Africa/Nairobi,UTC +3.0,-0.4980018,36.3284263
Kenya,Kenya,KE,20411,,Rift Valley,,Bomet,,Bomet,,Gorgor,Africa/Nairobi,UTC +3.0,-0.8180969,35.4309066
Kenya,Kenya,KE,20307,,Rift Valley,,Laikipia,,Laikipia West,,Igwamiti,Africa/Nairobi,UTC +3.0,0.0153453,37.0786887
Kenya,Kenya,KE,20157,,Rift Valley,,Baringo,,Baringo Central,,Kabarak,Africa/Nairobi,UTC +3.0,-0.2701217,36.0382566
Kenya,Kenya,KE,20157,,Rift Valley,,Nakuru,,Nakuru,,Kabarak University,Africa/Nairobi,UTC +3.0,-1.2807645,36.817194
Kenya,Kenya,KE,20114,,Rift Valley,,Nakuru,,Subukia,,Kabazi,Africa/Nairobi,UTC +3.0,-0.0768609,36.171467
Kenya,Kenya,KE,20201,,Rift Valley,,Kericho,,Belgut,,Kabianga,Africa/Nairobi,UTC +3.0,-0.3624955,35.1717256
Kenya,Kenya,KE,20304,,Central,,Nyandarua,,Ndaragwa,,Kaheho,Africa/Nairobi,UTC +3.0,-0.0587899,36.5278259
Kenya,Kenya,KE,20218,,Rift Valley,,Bomet,,Bomet,,Kamaget,Africa/Nairobi,UTC +3.0,-0.8180969,35.4309066
Kenya,Kenya,KE,20134,,Central,,Nyeri,,MUKURWE-INI,,Kamara,Africa/Nairobi,UTC +3.0,-0.567623,36.9969313
Kenya,Kenya,KE,20132,,Rift Valley,,Nakuru,,Nakuru,,Kamwaura,Africa/Nairobi,UTC +3.0,-0.2806559,36.0794189
