postal_code,latitude,longitude,place_name,region_1_en,region_2_en,region_3_en,country_en,country_code,timezone,utc
20510,7.0808,80.4693,Dolosbage,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20511,7.1145,80.4699,Pattitalawa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20512,7.0976,80.4696,Meetalawa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20524,7.1049,80.5917,Hondiyadeniya,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20526,7.1049,80.5917,Muruthagahamulla,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20532,7.1794,80.598,Doluwa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20544,7.1574,80.6373,Panwilatenna,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20546,7.1262,80.6692,Pupuressa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20562,7.1031,80.5572,Ulapane,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20564,7.1,80.5667,Mawatura,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20574,7.1354,80.6091,Atabage,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20578,7.1123,80.607,Paradeka,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20580,7.1073,80.6322,Pussellawa,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20610,7.1907,80.5865,Weligalla,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20620,7.2157,80.5967,Gelioya,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20640,7.0447,80.5235,Velamboda,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
20644,7.0447,80.5235,Bambaragahaela,Central Province,Kandy,,Sri Lanka,LK,Asia/Colombo,UTC +5.5
