country_en,country_lc,country_code,postcode,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,region4_lc,region4_en,utc,timezone
Australia,Australia,AU,2404,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Gineroi,Gineroi,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2379,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Goolhi,Goolhi,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2340,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Goonoo Goonoo,Goonoo Goonoo,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2340,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Gowrie,Gowrie,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2403,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Gragin,Gragin,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2360,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Graman,Graman,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2401,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Gravesend,Gravesend,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2347,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Gulf Creek,Gulf Creek,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2360,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Gum Flat,Gum Flat,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2347,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Gundamulda,Gundamulda,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2380,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Gunnedah,Gunnedah,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2346,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Halls Creek,Halls Creek,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2340,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Hallsville,Hallsville,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2390,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Harparary,Harparary,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2347,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Ironbark,Ironbark,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2390,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Kaputar,Kaputar,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2340,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Keepit,Keepit,,,UTC+10:00,Australia – Eastern Standard Time
Australia,Australia,AU,2404,New South Wales,New South Wales,Northwest Slopes,Northwest Slopes,Keera,Keera,,,UTC+10:00,Australia – Eastern Standard Time
