country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
Jordan,Jordan,JO,11732,,,محافظة العاصمة,Amman,الرواق,Al Rewaq, Asia/Amma,UTC +3.0 ,31.9916642,35.9142638
Jordan,Jordan,JO,11732,,,محافظة العاصمة,Amman,مرج الحمام,Marj Al Hamam, Asia/Amma,UTC +3.0 ,31.9028857,35.8465232
Jordan,Jordan,JO,11733,,,محافظة العاصمة,Amman,د. الأمير حمزة,D. Al Ameer Hamzah, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11810,,,محافظة العاصمة,Amman,الرباحية,Al Rabaheya, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
Jordan,Jordan,JO,11810,,,محافظة العاصمة,Amman,بلال,Belal, Asia/Amma,UTC +3.0 ,31.963153,35.7898607
Jordan,Jordan,JO,11810,,,محافظة العاصمة,Amman,وادي السير,Wadi as Sir, Asia/Amma,UTC +3.0 ,31.9566347,35.8472427
Jordan,Jordan,JO,11814,,,محافظة العاصمة,Amman,بيادر وادي السير,Bayader Wadi Al Seer, Asia/Amma,UTC +3.0 ,31.9529717,35.8202638
Jordan,Jordan,JO,11817,,,محافظة العاصمة,Amman,الجندويل,Al Jandweal, Asia/Amma,UTC +3.0 ,31.9620609,35.8402813
Jordan,Jordan,JO,11817,,,محافظة العاصمة,Amman,الكرسي,Al Kursi, Asia/Amma,UTC +3.0 ,31.9645466,35.8266649
Jordan,Jordan,JO,11817,,,محافظة العاصمة,Amman,الرونق,Al Rawnaq, Asia/Amma,UTC +3.0 ,31.9488126,35.8401359
Jordan,Jordan,JO,11821,,,محافظة العاصمة,Amman,أم السماق,Um Al Summaq, Asia/Amma,UTC +3.0 ,31.9816856,35.8434314
Jordan,Jordan,JO,11821,,,محافظة العاصمة,Amman,أم السماق وخلدا,Um Al Summaq & Khalda, Asia/Amma,UTC +3.0 ,31.9901273,35.8451072
Jordan,Jordan,JO,11822,,,محافظة العاصمة,Amman,المدينة الطبية,Al Madenah Altebyah, Asia/Amma,UTC +3.0 ,31.9453712,35.9283594
Jordan,Jordan,JO,11822,,,محافظة العاصمة,Amman,الرحمانية,Al Rahmaniah, Asia/Amma,UTC +3.0 ,31.9543786,35.9105776
