postcode,latitude,longitude,region_2_en,region_1_en,country_en,country_code,timezone,utc
1390,59.8067,10.4788,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1391,59.7893,10.4828,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1392,59.824,10.4731,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1393,59.8067,10.4788,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1394,59.8601,10.4939,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1395,59.8566,10.4663,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1396,59.8741,10.4842,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1397,59.8675,10.5262,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
1399,59.8337,10.4122,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
3430,59.7386,10.3376,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
3431,59.7386,10.3376,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
3440,59.7444,10.4056,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
3441,59.7444,10.4056,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
3442,59.7104,10.372,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
3470,59.7898,10.4948,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
3471,59.7725,10.4857,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
3472,59.7599,10.4617,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
3474,59.7054,10.5076,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
3475,59.6898,10.5157,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
3476,59.6683,10.5455,Asker,Akershus,Norway,NO,Europe/Oslo,UTC +1.0
