postcode,x,y,region_3_en,region_2_en,region_1_en,country_en,country_code,timezone,utc
4561,57.0809,27.127,Dūrupe,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.0766,27.2821,Plītinava,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4561,57.0791,27.2258,Kārklinieki,Balvu Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4501,57.1291,27.4071,Silakrogs,Bērzkalnes Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4501,57.1466,27.3787,Lazdukalns,Bērzkalnes Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4501,57.1222,27.3379,Dubļava,Bērzkalnes Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4501,57.1466,27.3787,Vējava,Bērzkalnes Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4501,57.1466,27.3787,Režgaļi,Bērzkalnes Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4501,57.1466,27.3787,Lemešava,Bērzkalnes Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4501,57.1466,27.3787,Šūcene,Bērzkalnes Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4590,57.0929,27.3523,Brūklāji,Bērzkalnes Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4590,57.0972,27.3436,Lielmežnieki,Bērzkalnes Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4590,57.0929,27.3523,Užgova,Bērzkalnes Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4590,57.0929,27.3523,Babāni,Bērzkalnes Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4590,57.1037,27.3495,Bērzkalne,Bērzkalnes Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4590,57.0929,27.3523,Kārnīte,Bērzkalnes Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
4590,57.0929,27.3523,Krievkalns,Bērzkalnes Parish,Balvu novads,Latvia,LV,Europe/Riga,UTC +2.0
