postal_code,latitude,longitude,country_el,country_tr,country_en,country_code,Region_1_el,Region_1_tr,region_1_en,Region_2_lc,Region_2_el,Region_2_tr,Region_2_en,Region_3_lc,Region_3_e1,Region_3_tr,Region_3_en,timezone,utc
5653,35.2443,33.6466,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Pınarlı,Πιναρλί,Pınarlı,Pınarlı,,,,,Asia/Famagusta,UTC +2.0
5654,35.2547,33.6012,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Serdarlı,Σερνταρλί,Serdarlı,Serdarlı,,,,,Asia/Famagusta,UTC +2.0
5655,35.2174,33.6981,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Nergizli,Νεργκισλί,Nergizli,Nergizli,,,,,Asia/Famagusta,UTC +2.0
5656,35.2648,33.6604,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Gönendere,Γκονεντερέ,Gönendere,Gönendere,,,,,Asia/Famagusta,UTC +2.0
5657,35.2828,33.573,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Görneç,Γκορνέτς,Görneç,Görneç,,,,,Asia/Famagusta,UTC +2.0
5658,35.193,33.6406,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Kurudere,Κουρουντέρε,Kurudere,Kurudere,,,,,Asia/Famagusta,UTC +2.0
5659,35.1827,33.7267,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Pirhan,Πιρχάν,Pirhan,Pirhan,,,,,Asia/Famagusta,UTC +2.0
5660,35.31,33.6336,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Tirmen,Τιρμέν,Tirmen,Tirmen,,,,,Asia/Famagusta,UTC +2.0
5661,35.2538,33.6873,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Sütlüce,Σουτλούτσε,Sütlüce,Sütlüce,,,,,Asia/Famagusta,UTC +2.0
5700,35.2863,33.8917,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,İskele,Ισκέλε,İskele,İskele,,,,,Asia/Famagusta,UTC +2.0
5720,35.3408,33.9686,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Kalecik,Καλετσίκ,Kalecik,Kalecik,,,,,Asia/Famagusta,UTC +2.0
5721,35.3893,34.0147,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Zeybekköy,Ζεϊμπεκκόι,Zeybekköy,Zeybekköy,,,,,Asia/Famagusta,UTC +2.0
5722,35.3288,33.9282,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Yarköy,Γιαρκόι,Yarköy,Yarköy,,,,,Asia/Famagusta,UTC +2.0
5723,35.366,34.0288,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Çayırova,Τσαγίροβα,Çayırova,Çayırova,,,,,Asia/Famagusta,UTC +2.0
5724,35.2366,33.8605,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Kuzucuk,Κουζουτσούκ,Kuzucuk,Kuzucuk,,,,,Asia/Famagusta,UTC +2.0
5725,35.3548,33.9627,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Kurtuluş,Κουρτουλούς,Kurtuluş,Kurtuluş,,,,,Asia/Famagusta,UTC +2.0
5726,35.3796,34.0714,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Bafra,Μπάφρα,Bafra,Bafra,,,,,Asia/Famagusta,UTC +2.0
5727,35.3427,33.9999,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Kalecik,Καλετσίκ,Kalecik,Kalecik,,,,,Asia/Famagusta,UTC +2.0
5728,35.27,33.8259,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Boğaziçi,Μπογιαζίτσι,Boğaziçi,Boğaziçi,,,,,Asia/Famagusta,UTC +2.0
5729,35.3988,34.0255,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Sazlıköy,Σαζλικόι,Sazlıköy,Sazlıköy,,,,,Asia/Famagusta,UTC +2.0
5730,35.3135,33.9476,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Boğaz,Μπογιάζ,Boğaz,Boğaz,,,,,Asia/Famagusta,UTC +2.0
5731,35.3136,33.9525,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Boğaz,Μπογιάζ,Boğaz,Boğaz,,,,,Asia/Famagusta,UTC +2.0
5732,35.3632,33.9965,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Tuzluca,Τουζλούτσα,Tuzluca,Tuzluca,,,,,Asia/Famagusta,UTC +2.0
5733,35.2862,33.9101,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Bahçeler,Μπαχτσελέρ,Bahçeler,Bahçeler,,,,,Asia/Famagusta,UTC +2.0
5734,35.2365,33.8718,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Ötüken,Οτουκέν,Ötüken,Ötüken,,,,,Asia/Famagusta,UTC +2.0
5735,35.2729,33.8523,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Sınırüstü,Σινιρούστου,Sınırüstü,Sınırüstü,,,,,Asia/Famagusta,UTC +2.0
5750,35.3739,33.753,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Tatlısu,Τατλισού,Tatlısu,Tatlısu,,,,,Asia/Famagusta,UTC +2.0
5761,35.3702,33.8922,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Ardahan,Αρνταχάν,Ardahan,Ardahan,,,,,Asia/Famagusta,UTC +2.0
5762,35.327,33.8151,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Altınova,Αλτινόβα,Altınova,Altınova,,,,,Asia/Famagusta,UTC +2.0
5763,35.3566,33.8859,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Ardahan,Αρνταχάν,Ardahan,Ardahan,,,,,Asia/Famagusta,UTC +2.0
5764,35.3592,33.9223,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Turnalar,Τουρναλάρ,Turnalar,Turnalar,,,,,Asia/Famagusta,UTC +2.0
5765,35.4215,33.9052,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Kaplıca,Καπλίτσα,Kaplıca,Kaplıca,,,,,Asia/Famagusta,UTC +2.0
5766,35.3885,33.8988,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Kaplıca,Καπλίτσα,Kaplıca,Kaplıca,,,,,Asia/Famagusta,UTC +2.0
5767,35.3953,33.9729,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Kilitkaya,Κιλιτκαγιά,Kilitkaya,Kilitkaya,,,,,Asia/Famagusta,UTC +2.0
5768,35.3471,33.7992,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Ağıllar,Αγιλάρ,Ağıllar,Ağıllar,,,,,Asia/Famagusta,UTC +2.0
5769,35.3659,33.9384,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Ergazi,Εργαζί,Ergazi,Ergazi,,,,,Asia/Famagusta,UTC +2.0
5770,35.333,33.7518,Κύπρος,Kıbrıs,Cyprus,CY,Αμμόχωστος,Gazimağusa,Famagusta,Çınarlı,Τσιναρλί,Çınarlı,Çınarlı,,,,,Asia/Famagusta,UTC +2.0
